epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.3811,1.21916,2.91259,1.29278,0.01049,0.98837,0.2343,0.16588,0.68924,2.7233,0.94122,6e-05,6e-05,6e-05
2,2.40041,1.13491,2.86817,1.25466,0.01052,0.99535,0.39551,0.32011,0.64296,2.70576,0.92755,0.000139998,0.000139998,0.000139998
3,3.4672,1.00891,2.26593,1.1088,0.67705,0.5558,0.58855,0.46243,0.72156,2.38495,0.92132,0.000219989,0.000219989,0.000219989
4,4.53781,0.95386,1.34027,1.05078,0.94643,0.4109,0.75712,0.57243,0.772,2.04482,0.91801,0.000299966,0.000299966,0.000299966
5,5.60807,0.90723,1.18051,1.06324,0.88714,0.45701,0.67256,0.52823,0.7735,2.02272,0.93518,0.000379924,0.000379924,0.000379924
6,6.55994,0.88432,1.00476,1.04706,0.87917,0.48837,0.65743,0.4998,0.81958,1.81123,0.94834,0.000459856,0.000459856,0.000459856
7,7.6237,0.89061,0.91826,1.02758,0.88188,0.51163,0.74786,0.58005,0.84217,1.74662,0.94954,0.000539757,0.000539757,0.000539757
8,8.58213,0.88675,0.88835,1.01393,0.77247,0.4814,0.74922,0.5835,0.82735,1.68596,0.93021,0.00061962,0.00061962,0.00061962
9,9.65768,0.88439,0.84029,1.018,0.71244,0.55349,0.77297,0.61543,0.7699,1.57398,0.91116,0.000699439,0.000699439,0.000699439
10,10.7199,0.8906,0.83709,1.0153,0.71636,0.52274,0.76326,0.59024,0.78757,1.59023,0.91351,0.000779209,0.000779209,0.000779209
11,11.7748,0.87411,0.7812,0.99972,0.66059,0.57031,0.76486,0.58968,0.80791,1.49672,0.94674,0.000858924,0.000858924,0.000858924
12,12.8398,0.89029,0.80206,1.02011,0.76654,0.46977,0.74883,0.57133,0.83512,1.70741,0.95632,0.000938577,0.000938577,0.000938577
13,13.912,0.87924,0.7788,1.01401,0.67953,0.5523,0.76584,0.59312,0.8154,1.53251,0.95179,0.00101816,0.00101816,0.00101816
14,14.8656,0.85019,0.75399,1.00707,0.78928,0.67943,0.83892,0.64852,0.82821,1.51173,0.94739,0.00109767,0.00109767,0.00109767
15,15.9261,0.88632,0.76854,1.0146,0.94816,0.85068,0.96048,0.7336,0.84512,1.44064,0.95499,0.00117711,0.00117711,0.00117711
16,16.9773,0.87762,0.7491,1.00772,0.89931,0.8101,0.92386,0.64444,0.95553,1.47666,1.00464,0.00125645,0.00125645,0.00125645
17,18.039,0.87664,0.73002,1.00856,0.8776,0.86744,0.89072,0.63306,0.92443,1.29482,1.00594,0.00133571,0.00133571,0.00133571
18,19.1133,0.90046,0.74567,1.03872,0.77254,0.77907,0.77591,0.49981,1.08582,1.4188,1.15119,0.00141487,0.00141487,0.00141487
19,20.1633,0.87394,0.71765,1.00707,0.85328,0.81395,0.87533,0.61591,1.02025,1.08911,1.09894,0.00149393,0.00149393,0.00149393
20,21.1072,0.84512,0.67035,0.99798,0.82765,0.78837,0.87176,0.61184,1.02825,1.21872,1.11352,0.00157287,0.00157287,0.00157287
21,22.1441,0.87121,0.67535,1.00423,0.85062,0.82106,0.88343,0.59553,1.05515,1.24504,1.12238,0.00165171,0.00165171,0.00165171
22,23.191,0.87953,0.68618,1.00956,0.83209,0.65692,0.79267,0.51682,1.197,1.26746,1.1839,0.00173042,0.00173042,0.00173042
23,24.2476,0.91413,0.71258,1.02233,0.70502,0.79302,0.79188,0.54668,1.02052,0.98117,1.09083,0.001809,0.001809,0.001809
24,25.2835,0.86729,0.67658,1.01068,0.75827,0.73488,0.74707,0.45649,1.22043,1.04473,1.27165,0.00188746,0.00188746,0.00188746
25,26.3244,0.86502,0.66519,1.00166,0.39856,0.64186,0.40404,0.24416,1.22496,1.41763,1.23495,0.00196577,0.00196577,0.00196577
26,27.3807,0.8913,0.69504,1.02648,0.49973,0.55814,0.45625,0.28452,1.28355,1.4334,1.2718,0.00198441,0.00198441,0.00198441
27,28.4248,0.86296,0.66575,1.03123,0.7648,0.51421,0.61992,0.41011,1.33779,1.36819,1.35184,0.00198314,0.00198314,0.00198314
28,29.4614,0.83994,0.66461,1.01109,0.26034,0.37907,0.20809,0.11733,1.3165,1.98455,1.32913,0.00198183,0.00198183,0.00198183
29,30.5176,0.90776,0.66249,1.00312,0.69806,0.64186,0.66647,0.4299,1.12092,1.61254,1.16146,0.00198046,0.00198046,0.00198046
30,31.4614,0.84433,0.63735,1.00821,0.8083,0.75505,0.84263,0.57726,1.05227,1.36111,1.14844,0.00197905,0.00197905,0.00197905
31,32.5186,0.82523,0.63031,1.01016,0.81647,0.86977,0.90815,0.66797,0.88891,0.99414,1.02787,0.00197759,0.00197759,0.00197759
32,33.5427,0.81813,0.60487,1.01012,0.86105,0.93023,0.94909,0.70231,0.89245,0.79795,1.0176,0.00197608,0.00197608,0.00197608
33,34.5742,0.8519,0.61683,1.00383,0.87005,0.87194,0.93045,0.70361,0.86576,0.8168,1.00898,0.00197452,0.00197452,0.00197452
34,35.6331,0.87909,0.62229,0.99695,0.71223,0.83459,0.7927,0.56736,0.93135,1.22383,1.06068,0.00197292,0.00197292,0.00197292
35,36.6653,0.83809,0.6005,1.00337,0.84021,0.89302,0.91148,0.67342,0.90578,0.78663,1.03517,0.00197127,0.00197127,0.00197127
36,37.692,0.82235,0.58089,0.98591,0.85557,0.88837,0.93455,0.70648,0.83661,0.79599,1.00144,0.00196957,0.00196957,0.00196957
37,38.7326,0.82501,0.5766,0.99898,0.88257,0.87907,0.92305,0.68147,0.90271,0.78839,1.03142,0.00196782,0.00196782,0.00196782
38,39.7644,0.84312,0.57299,1.00495,0.85429,0.88625,0.90398,0.67805,0.92863,0.775,1.0736,0.00196602,0.00196602,0.00196602
39,40.8047,0.8153,0.56346,0.99592,0.82941,0.83488,0.85066,0.60455,1.03831,0.84453,1.10646,0.00196418,0.00196418,0.00196418
40,41.8547,0.8143,0.56709,0.97434,0.84716,0.85116,0.90714,0.69143,0.88275,0.74867,1.02539,0.00196229,0.00196229,0.00196229
41,42.8967,0.83822,0.58658,0.99547,0.92127,0.89805,0.94204,0.71024,0.8631,0.67459,1.02275,0.00196035,0.00196035,0.00196035
42,43.9314,0.80624,0.55541,0.98496,0.85757,0.88605,0.90692,0.69112,0.85433,0.68061,0.99732,0.00195836,0.00195836,0.00195836
43,44.9573,0.78604,0.53943,0.97886,0.89698,0.91395,0.94411,0.71928,0.86592,0.65377,1.01093,0.00195633,0.00195633,0.00195633
44,45.9792,0.78614,0.56047,0.98582,0.89046,0.91395,0.9488,0.72981,0.83829,0.62609,0.9894,0.00195425,0.00195425,0.00195425
45,47.0043,0.78646,0.5334,0.97884,0.92843,0.84473,0.92166,0.71282,0.85734,0.70786,0.99549,0.00195213,0.00195213,0.00195213
46,48.0397,0.82572,0.54785,1.00115,0.93709,0.86598,0.92224,0.7156,0.84367,0.70394,0.98898,0.00194996,0.00194996,0.00194996
47,49.0829,0.80969,0.54167,0.97707,0.94575,0.89201,0.93697,0.73963,0.84672,0.62071,0.97928,0.00194774,0.00194774,0.00194774
48,50.1131,0.78699,0.53461,0.97051,0.94802,0.9093,0.95225,0.75242,0.77642,0.58317,0.95778,0.00194548,0.00194548,0.00194548
49,51.0401,0.78001,0.52123,0.98248,0.93616,0.93953,0.9655,0.7629,0.78135,0.62705,0.96812,0.00194317,0.00194317,0.00194317
50,52.0746,0.7763,0.53666,0.98279,0.90603,0.91934,0.95507,0.73584,0.81046,0.64522,0.96878,0.00194082,0.00194082,0.00194082
51,53.0953,0.7876,0.52334,0.98967,0.89484,0.89049,0.94124,0.71567,0.84542,0.6602,0.97969,0.00193842,0.00193842,0.00193842
52,54.1263,0.79249,0.53647,0.97173,0.92444,0.82507,0.89657,0.69657,0.85774,0.77376,1.01641,0.00193597,0.00193597,0.00193597
53,55.167,0.77729,0.52196,0.98618,0.87834,0.77209,0.84143,0.61897,0.91595,1.05152,1.04087,0.00193349,0.00193349,0.00193349
54,56.0952,0.77249,0.53021,0.97116,0.91614,0.7907,0.87551,0.65281,0.87999,0.93874,1.02432,0.00193095,0.00193095,0.00193095
55,57.1558,0.79204,0.54741,0.97719,0.91013,0.74884,0.84453,0.62107,0.92597,1.19235,1.06571,0.00192837,0.00192837,0.00192837
56,58.1982,0.74198,0.50798,0.96013,0.88345,0.88837,0.9189,0.68599,0.86986,1.03784,0.99061,0.00192575,0.00192575,0.00192575
57,59.2462,0.76988,0.50481,0.96965,0.84167,0.90249,0.93082,0.72151,0.79503,0.99515,0.94009,0.00192308,0.00192308,0.00192308
58,60.2968,0.77915,0.52714,0.97784,0.92913,0.91462,0.94882,0.74747,0.75324,0.95024,0.94232,0.00192037,0.00192037,0.00192037
59,61.3367,0.79433,0.51491,0.97358,0.90374,0.91163,0.95023,0.72928,0.83426,0.8476,0.95579,0.00191762,0.00191762,0.00191762
60,62.3896,0.79219,0.51993,0.97349,0.89711,0.91163,0.95812,0.76305,0.71793,0.88969,0.92102,0.00191482,0.00191482,0.00191482
61,63.4286,0.76683,0.501,0.97952,0.92195,0.93403,0.97223,0.781,0.74293,0.79048,0.93481,0.00191198,0.00191198,0.00191198
62,64.4677,0.76538,0.50669,0.97867,0.91187,0.92326,0.95409,0.75079,0.77731,0.77702,0.94554,0.00190909,0.00190909,0.00190909
63,65.5069,0.80687,0.52028,1.00088,0.90477,0.93256,0.95639,0.76348,0.75585,0.71391,0.95118,0.00190617,0.00190617,0.00190617
64,66.5537,0.78971,0.50343,0.98753,0.92452,0.91154,0.94963,0.73735,0.76371,0.64979,0.93899,0.0019032,0.0019032,0.0019032
65,67.4998,0.75407,0.4734,0.97435,0.92558,0.88837,0.94243,0.75033,0.75216,0.63643,0.93843,0.00190019,0.00190019,0.00190019
66,68.5606,0.789,0.50126,0.97019,0.91832,0.92326,0.96559,0.76039,0.7636,0.67003,0.95828,0.00189713,0.00189713,0.00189713
67,69.6158,0.78438,0.50732,0.98304,0.92678,0.95116,0.97139,0.7487,0.80067,0.61984,0.95923,0.00189404,0.00189404,0.00189404
68,70.5569,0.75284,0.49475,0.98131,0.93518,0.92791,0.96614,0.74953,0.79971,0.6445,0.96107,0.0018909,0.0018909,0.0018909
69,71.4938,0.75257,0.48409,0.96515,0.89077,0.90233,0.94666,0.75282,0.77071,0.79454,0.95533,0.00188772,0.00188772,0.00188772
70,72.5328,0.73503,0.48014,0.94928,0.93113,0.95581,0.97557,0.76306,0.80082,0.69247,0.96918,0.0018845,0.0018845,0.0018845
71,73.5652,0.77913,0.49677,0.97656,0.96273,0.96125,0.9841,0.78983,0.76154,0.51268,0.94702,0.00188124,0.00188124,0.00188124
72,74.6175,0.75147,0.48465,0.96155,0.95163,0.96088,0.97867,0.7959,0.74164,0.52868,0.92901,0.00187794,0.00187794,0.00187794
73,75.6544,0.74203,0.48351,0.96232,0.92662,0.93969,0.9529,0.75019,0.78363,0.57031,0.95416,0.0018746,0.0018746,0.0018746
74,76.6913,0.75442,0.48505,0.9689,0.94386,0.91628,0.96388,0.76024,0.7674,0.58203,0.95795,0.00187122,0.00187122,0.00187122
75,77.6297,0.73499,0.46627,0.9546,0.96437,0.92558,0.96906,0.78703,0.74033,0.51627,0.9363,0.0018678,0.0018678,0.0018678
76,78.6616,0.75421,0.48472,0.96202,0.97342,0.93488,0.97674,0.79325,0.73057,0.50903,0.92706,0.00186434,0.00186434,0.00186434
77,79.7064,0.7226,0.46591,0.95637,0.96598,0.95814,0.98063,0.79917,0.71948,0.45937,0.91944,0.00186084,0.00186084,0.00186084
78,80.7358,0.71028,0.46194,0.96037,0.94742,0.92192,0.96646,0.79303,0.72168,0.47027,0.91899,0.0018573,0.0018573,0.0018573
79,81.7662,0.72936,0.48026,0.94949,0.93209,0.92567,0.9608,0.78203,0.75699,0.49628,0.9372,0.00185372,0.00185372,0.00185372
80,82.7019,0.73981,0.46627,0.9544,0.88671,0.93488,0.95243,0.75972,0.7603,0.60141,0.92838,0.00185011,0.00185011,0.00185011
81,83.6338,0.73452,0.45767,0.94885,0.93723,0.94186,0.96911,0.78873,0.74621,0.54496,0.9369,0.00184645,0.00184645,0.00184645
82,84.673,0.76646,0.47255,0.94854,0.93847,0.94884,0.97784,0.78647,0.73543,0.52477,0.93627,0.00184276,0.00184276,0.00184276
83,85.7126,0.73119,0.46969,0.96256,0.94732,0.95581,0.9748,0.7896,0.71867,0.5342,0.92143,0.00183903,0.00183903,0.00183903
84,86.6534,0.73629,0.46717,0.96489,0.96496,0.95814,0.9835,0.80229,0.71917,0.48466,0.91471,0.00183527,0.00183527,0.00183527
85,87.7018,0.70755,0.4522,0.94857,0.95845,0.9657,0.98108,0.79619,0.73953,0.48489,0.92112,0.00183146,0.00183146,0.00183146
86,88.7425,0.73094,0.47289,0.94859,0.9579,0.96512,0.98637,0.80656,0.73132,0.47411,0.91899,0.00182762,0.00182762,0.00182762
87,89.7952,0.72153,0.4567,0.93478,0.96209,0.97674,0.98742,0.79287,0.76406,0.44979,0.92598,0.00182375,0.00182375,0.00182375
88,90.7379,0.71936,0.45185,0.94757,0.96584,0.97209,0.9852,0.81891,0.69264,0.43662,0.89902,0.00181984,0.00181984,0.00181984
89,91.7949,0.72639,0.45873,0.9464,0.96736,0.96977,0.98662,0.81835,0.68621,0.44162,0.89732,0.00181589,0.00181589,0.00181589
90,92.8339,0.72334,0.45442,0.95008,0.94803,0.96512,0.98465,0.80662,0.71195,0.44338,0.91618,0.00181191,0.00181191,0.00181191
91,93.8554,0.71165,0.44644,0.94949,0.95201,0.96744,0.98323,0.81937,0.67853,0.44188,0.90373,0.00180789,0.00180789,0.00180789
92,94.9131,0.72722,0.45426,0.94556,0.9629,0.96977,0.98383,0.80444,0.73561,0.48357,0.91844,0.00180384,0.00180384,0.00180384
93,95.9396,0.71517,0.45609,0.95005,0.94499,0.96279,0.98435,0.81936,0.69327,0.4357,0.90264,0.00179976,0.00179976,0.00179976
94,96.9622,0.69198,0.42972,0.94749,0.93177,0.97674,0.97049,0.81017,0.69215,0.45953,0.90828,0.00179564,0.00179564,0.00179564
95,98.0124,0.73967,0.44817,0.95151,0.89423,0.96344,0.96678,0.79126,0.7187,0.5242,0.9179,0.00179148,0.00179148,0.00179148
96,99.0639,0.6962,0.43734,0.935,0.93888,0.96457,0.98014,0.79544,0.72376,0.51795,0.91413,0.00178729,0.00178729,0.00178729
97,100.101,0.70816,0.44875,0.94439,0.95418,0.9685,0.98459,0.8158,0.69898,0.52398,0.91453,0.00178308,0.00178308,0.00178308
98,101.148,0.74405,0.45962,0.96125,0.9553,0.96744,0.98185,0.8009,0.7231,0.47191,0.92163,0.00177882,0.00177882,0.00177882
99,102.18,0.70034,0.44911,0.95611,0.95446,0.96047,0.98263,0.80512,0.70664,0.45922,0.91011,0.00177454,0.00177454,0.00177454
100,103.107,0.68848,0.44194,0.93774,0.97217,0.96512,0.98842,0.80829,0.71685,0.43569,0.91555,0.00177022,0.00177022,0.00177022
101,104.168,0.68382,0.43653,0.9363,0.97035,0.96279,0.98606,0.80179,0.74658,0.45656,0.92452,0.00176587,0.00176587,0.00176587
102,105.201,0.6839,0.43307,0.94068,0.94939,0.96977,0.98496,0.80664,0.71867,0.47098,0.91227,0.00176149,0.00176149,0.00176149
103,106.222,0.70099,0.44182,0.94039,0.95138,0.96279,0.98509,0.81139,0.70176,0.4969,0.90314,0.00175708,0.00175708,0.00175708
104,107.246,0.68758,0.42552,0.93908,0.9565,0.97169,0.98235,0.81139,0.69766,0.46141,0.90034,0.00175264,0.00175264,0.00175264
105,108.276,0.73996,0.45799,0.95742,0.94558,0.97907,0.98463,0.81344,0.70954,0.46856,0.9032,0.00174817,0.00174817,0.00174817
106,109.303,0.71679,0.44415,0.93382,0.96303,0.96512,0.98651,0.8251,0.69337,0.43859,0.89571,0.00174367,0.00174367,0.00174367
107,110.326,0.69352,0.43852,0.94168,0.94868,0.96279,0.97542,0.80807,0.69015,0.43745,0.90154,0.00173914,0.00173914,0.00173914
108,111.348,0.6889,0.43531,0.94119,0.95863,0.95581,0.98792,0.81593,0.70659,0.45639,0.90583,0.00173458,0.00173458,0.00173458
109,112.355,0.69795,0.43302,0.94449,0.95293,0.96279,0.98737,0.81209,0.70538,0.43,0.89826,0.00172999,0.00172999,0.00172999
110,113.369,0.71534,0.44945,0.93882,0.96499,0.97442,0.98316,0.80143,0.7304,0.43292,0.91359,0.00172538,0.00172538,0.00172538
111,114.407,0.71167,0.44217,0.95193,0.95674,0.97209,0.98253,0.81863,0.69815,0.41999,0.90503,0.00172073,0.00172073,0.00172073
112,115.426,0.71234,0.43614,0.94247,0.96084,0.96993,0.98436,0.80978,0.71786,0.4248,0.9071,0.00171606,0.00171606,0.00171606
113,116.443,0.69522,0.43861,0.94284,0.96095,0.96512,0.97701,0.80738,0.70016,0.41929,0.90774,0.00171136,0.00171136,0.00171136
114,117.479,0.72213,0.44113,0.94069,0.96851,0.96744,0.98074,0.808,0.71172,0.41348,0.9078,0.00170664,0.00170664,0.00170664
115,118.49,0.69144,0.42619,0.94874,0.98658,0.94651,0.98511,0.81668,0.73079,0.4152,0.92387,0.00170188,0.00170188,0.00170188
116,119.535,0.70789,0.44109,0.94589,0.97192,0.96592,0.9842,0.82407,0.69525,0.40803,0.90802,0.0016971,0.0016971,0.0016971
117,120.446,0.69127,0.4401,0.9413,0.96423,0.97209,0.98452,0.82191,0.69384,0.4108,0.90613,0.0016923,0.0016923,0.0016923
118,121.491,0.70039,0.42792,0.93588,0.959,0.97902,0.98181,0.7903,0.75986,0.43998,0.91838,0.00168747,0.00168747,0.00168747
119,122.515,0.70876,0.42174,0.94202,0.95118,0.96977,0.97058,0.79793,0.71071,0.45333,0.91138,0.00168262,0.00168262,0.00168262
120,123.55,0.71241,0.42662,0.94246,0.94764,0.96813,0.97777,0.79857,0.72644,0.45707,0.91881,0.00167774,0.00167774,0.00167774
121,124.558,0.67719,0.43463,0.95221,0.9365,0.96028,0.97433,0.78709,0.75125,0.46592,0.92628,0.00167283,0.00167283,0.00167283
122,125.58,0.69242,0.43526,0.949,0.92493,0.97422,0.97732,0.81082,0.70648,0.44535,0.91174,0.00166791,0.00166791,0.00166791
123,126.607,0.69027,0.42881,0.9403,0.92849,0.96744,0.9798,0.81936,0.68595,0.44902,0.90077,0.00166296,0.00166296,0.00166296
124,127.613,0.66587,0.42632,0.93298,0.93467,0.96744,0.97974,0.81449,0.69211,0.45454,0.89662,0.00165798,0.00165798,0.00165798
125,128.633,0.67979,0.41925,0.93355,0.95602,0.96279,0.98168,0.82289,0.66267,0.43216,0.88762,0.00165299,0.00165299,0.00165299
126,129.656,0.67983,0.4198,0.93726,0.96983,0.972,0.98453,0.81902,0.69104,0.39758,0.89425,0.00164797,0.00164797,0.00164797
127,130.672,0.64936,0.40682,0.93202,0.95208,0.97024,0.98284,0.83582,0.65655,0.38377,0.88747,0.00164293,0.00164293,0.00164293
128,131.697,0.66708,0.41649,0.93327,0.97149,0.95098,0.98333,0.82996,0.67886,0.40031,0.90621,0.00163787,0.00163787,0.00163787
129,132.741,0.65787,0.41385,0.92879,0.96343,0.96279,0.98617,0.82469,0.69016,0.41773,0.90877,0.00163279,0.00163279,0.00163279
130,133.786,0.69468,0.42797,0.93652,0.9628,0.96977,0.986,0.82072,0.68126,0.41163,0.91665,0.00162769,0.00162769,0.00162769
131,134.829,0.70194,0.42998,0.94415,0.96249,0.97674,0.98834,0.81602,0.70966,0.41331,0.91666,0.00162256,0.00162256,0.00162256
132,135.862,0.64617,0.40004,0.91979,0.97436,0.9722,0.98788,0.82244,0.69386,0.42382,0.90906,0.00161742,0.00161742,0.00161742
133,136.899,0.66096,0.40364,0.92251,0.97218,0.96512,0.98335,0.83031,0.66949,0.38861,0.90511,0.00161226,0.00161226,0.00161226
134,137.925,0.67698,0.41387,0.93858,0.95643,0.96989,0.98306,0.83303,0.65764,0.39428,0.89494,0.00160708,0.00160708,0.00160708
135,138.853,0.67336,0.41469,0.9299,0.96016,0.97442,0.98906,0.83572,0.66271,0.38825,0.89387,0.00160188,0.00160188,0.00160188
