epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.50507,0.63903,0.39723,0.94229,0.98302,0.97907,0.99265,0.83789,0.69127,0.35028,0.89135,0.00016,0.00016,0.00016
2,2.79027,0.61525,0.37851,0.92299,0.98119,0.97032,0.99165,0.84222,0.66249,0.37477,0.88838,0.000339977,0.000339977,0.000339977
3,4.10951,0.65126,0.38676,0.92893,0.97351,0.96279,0.98634,0.83541,0.68047,0.39229,0.89863,0.000519858,0.000519858,0.000519858
4,5.40659,0.69108,0.41138,0.93619,0.9532,0.94727,0.97837,0.81806,0.69084,0.40152,0.90721,0.000699571,0.000699571,0.000699571
5,6.69678,0.67698,0.43079,0.94536,0.94962,0.92053,0.9677,0.80322,0.69882,0.49176,0.91523,0.00087904,0.00087904,0.00087904
6,7.99086,0.73721,0.45831,0.97321,0.91724,0.8814,0.93645,0.7501,0.77916,0.52288,0.9746,0.00105819,0.00105819,0.00105819
7,9.39089,0.75609,0.4736,0.96977,0.95672,0.87402,0.93958,0.74813,0.7958,0.551,0.967,0.00123696,0.00123696,0.00123696
8,10.6856,0.80175,0.5018,0.99469,0.86806,0.84151,0.89359,0.68555,0.87296,0.70786,0.99441,0.00141526,0.00141526,0.00141526
9,11.9938,0.80989,0.53271,0.99085,0.80696,0.82632,0.87157,0.6352,0.95493,1.09308,1.04884,0.00159303,0.00159303,0.00159303
10,13.3077,0.83473,0.56082,1.01196,0.78594,0.6907,0.77154,0.53885,1.02605,1.58849,1.11719,0.0017702,0.0017702,0.0017702
11,14.6155,0.87813,0.59753,1.03254,0.76158,0.63887,0.67006,0.46387,1.14457,1.39015,1.20381,0.00194668,0.00194668,0.00194668
12,15.9135,0.92057,0.64118,1.03476,0.84914,0.63953,0.72534,0.48678,1.08045,1.0784,1.17682,0.00198357,0.00198357,0.00198357
13,17.2128,0.88021,0.62305,1.03262,0.75226,0.76512,0.80246,0.55572,0.97534,1.11829,1.10058,0.00198046,0.00198046,0.00198046
14,18.5043,0.89308,0.63023,1.0327,0.86865,0.77209,0.86682,0.59798,1.09197,0.81161,1.11141,0.00197709,0.00197709,0.00197709
15,19.7905,0.88414,0.6128,1.03121,0.81188,0.75273,0.83599,0.59439,1.06546,0.88095,1.12224,0.00197346,0.00197346,0.00197346
16,21.0792,0.88409,0.60835,1.03493,0.8455,0.76359,0.86544,0.59936,1.11109,0.78499,1.15991,0.00196957,0.00196957,0.00196957
17,22.4812,0.94865,0.63515,1.05203,0.72793,0.728,0.76472,0.50724,1.07953,0.97314,1.14147,0.00196541,0.00196541,0.00196541
18,23.7866,0.89687,0.59797,1.02807,0.75558,0.77209,0.81408,0.58761,1.00069,0.87383,1.07902,0.001961,0.001961,0.001961
19,25.0879,0.88421,0.59113,1.02051,0.84895,0.85814,0.92477,0.68331,0.92777,0.80514,1.05513,0.00195633,0.00195633,0.00195633
20,26.4009,0.86756,0.59149,1.01596,0.89551,0.91684,0.95035,0.75281,0.79718,0.61297,0.96231,0.00195141,0.00195141,0.00195141
21,27.7208,0.87897,0.59217,1.0142,0.77977,0.94693,0.87962,0.6806,0.81441,0.72207,0.99028,0.00194624,0.00194624,0.00194624
22,29.0348,0.83528,0.54373,1.00837,0.90995,0.88837,0.94891,0.73866,0.82347,0.70321,0.99276,0.00194082,0.00194082,0.00194082
